PERSON_ID,POSITION
1630173,Forward
203500,Center
1628389,Center-Forward
1630534,Guard
1630583,Forward-Center
1641725,Guard
1629638,Guard
1628960,Guard
1628386,Center
1630631,Guard
203937,Forward-Guard
203507,Forward
1630175,Guard
1628384,Forward-Guard
1642379,Guard
1630166,Forward
1629028,Center
1630542,Forward
1628963,Forward
1631116,Forward
1630163,Guard
1628366,Guard
1628964,Center
1631094,Forward
1630217,Guard
1630625,Forward
1631230,Forward
203084,Forward
1630567,Forward-Guard
1629628,Forward-Guard
1629646,Center-Forward
1641734,Forward
1642419,Forward
201587,Guard-Forward
1641878,Guard
203078,Guard
1627736,Guard
1630699,Forward
1641736,Guard
1630180,Guard-Forward
1629048,Center-Forward
202687,Center
1641710,Guard
203992,Guard
1629626,Center-Forward
1641737,Forward
1626164,Guard
1630527,Guard
1628449,Forward
1631123,Guard
1628396,Center-Forward
1631103,Forward
1631128,Guard
1641779,Forward
1628969,Guard-Forward
1628970,Forward
1629052,Forward-Guard
1627763,Guard
1628415,Guard-Forward
1631232,Forward
1628971,Guard-Forward
1627759,Guard-Forward
1641738,Forward
1629650,Center
1628973,Guard
1628418,Center-Forward
1641723,Guard
202692,Guard
1630215,Guard
202710,Forward
1641824,Forward
1631288,Forward
203484,Guard
1641739,Forward
203991,Center
1642382,Center
1642267,Guard
1642269,Guard
1628975,Guard
1628976,Center-Forward
1630618,Guard
1627936,Guard
1642264,Guard
1630658,Center
1630577,Forward
1630551,Guard-Forward
1642279,Center
1642353,Guard
1631108,Guard
1630528,Guard
1631321,Guard
1641740,Guard
1629634,Forward
203903,Guard
1629651,Center
1642270,Center
1641730,Forward-Center
1629599,Guard-Forward
1642268,Guard
1628381,Forward-Center
1641879,Guard
1628380,Forward-Center
201144,Guard
1626192,Guard
1641731,Guard
1641741,Guard
1628470,Forward
1642384,Forward
203109,Forward
1630595,Guard
203552,Guard
201939,Guard
1642359,Forward
1630700,Guard
1642368,Center
203076,Forward-Center
1631098,Guard
1631120,Guard
201942,Guard-Forward
1642484,Guard
1628978,Guard
1631217,Forward
1641711,Guard-Forward
1631172,Forward
1642265,Guard
203915,Guard
1629029,Forward-Guard
1629652,Guard
1630245,Guard
1630288,Guard
1628408,Guard-Forward
203083,Center
1630537,Guard
1642505,Guard
1630561,Guard
1627739,Guard
1642346,Forward
201142,Forward
1631105,Center
1631106,Forward
1641744,Center
1630162,Guard
1642399,Center
1642348,Forward
1630556,Forward
1631165,Guard
203954,Center-Forward
1630623,Guard
1629234,Forward-Center
1641787,Forward
203957,Guard
1628981,Forward-Center
1642271,Center
1627827,Forward
1641745,Guard
1642280,Forward
1630201,Guard
1631323,Forward
1628368,Guard
1642402,Forward
1628365,Guard
1642277,Guard
1629655,Forward-Center
1629636,Guard
1630585,Guard
1630568,Center
1641718,Guard
1642273,Forward
202331,Forward
201959,Forward
1630581,Guard
1628983,Guard
1630264,Forward
1631221,Guard
203497,Center
1630692,Guard
203932,Forward
201569,Guard
1641789,Guard
203924,Forward
1631260,Guard
203110,Forward
1630224,Guard
1629750,Guard
201145,Forward
1630182,Guard
1629656,Guard
1631243,Forward
1629060,Forward
1630169,Guard
1641790,Center
203501,Guard-Forward
201935,Guard
1630702,Guard
1641989,Guard
1631199,Guard-Forward
203914,Guard
202699,Forward
1628404,Guard
1628392,Center-Forward
1630573,Forward
1641722,Guard
1629637,Center-Forward
1630165,Guard
1630703,Guard
1641707,Forward
1629639,Guard
1627741,Guard
1629312,Forward
1628988,Guard
201950,Guard
1641842,Forward
1626158,Forward
1641747,Forward
1631096,Center-Forward
1641720,Guard
201143,Center-Forward
1629659,Guard
1631216,Guard
1641724,Guard
1628989,Guard-Forward
1630643,Center
1630574,Center
1629631,Forward-Guard
1630538,Guard
1642345,Forward
204060,Forward-Guard
1627742,Forward
1631127,Forward
202681,Guard
1628371,Forward
1631093,Guard
1641713,Forward
1630543,Forward
1631245,Guard
202704,Guard
1641748,Guard
1628991,Forward-Center
1631218,Forward
1642355,Guard
2544,Forward
1631170,Guard
1629610,Guard-Forward
1641998,Center
1642450,Guard
1629660,Guard-Forward
1630198,Guard
1642358,Guard
1629661,Forward
1630552,Forward
201949,Forward
1629640,Forward-Guard
1630553,Guard
1642352,Forward
203999,Center
1641732,Guard
1641794,Forward
1630529,Forward
1642403,Forward
1630539,Center-Forward
1630222,Guard
1642461,Forward
1630200,Guard
1626145,Guard
1627884,Forward
201599,Center
202709,Guard
1631107,Forward
1630548,Guard
1642530,Guard
1630283,Center
1628379,Guard
1631117,Center
1630296,Forward
1630557,Forward
1628467,Forward
1641752,Forward
1642261,Forward
1628995,Forward
1642278,Guard
1631132,Center
1629723,Guard
1628436,Center-Forward
1630249,Guard
1630228,Forward
1628398,Forward
1631222,Forward
203897,Guard
1627746,Forward-Center
1629111,Center
1641796,Guard
1630639,Guard
1627747,Guard
1627814,Guard-Forward
203458,Center
202695,Forward
1642502,Forward
1641721,Forward
1630604,Forward
203081,Guard
1641726,Center
1641753,Forward
1626172,Forward
201572,Center
201567,Forward-Center
200768,Guard
1641754,Guard-Forward
1626168,Forward
1630572,Forward-Center
1629611,Guard-Forward
1630544,Guard
1628374,Forward-Center
1630230,Forward
1628997,Forward
1628998,Forward
1641798,Guard
1630231,Forward
1631213,Forward
1629726,Guard
1631097,Guard-Forward
1631255,Forward-Center
1630178,Guard
1630540,Guard
1642272,Guard
1630644,Guard
203468,Guard
204456,Guard
1641755,Guard
1630183,Forward
1629667,Forward
203926,Forward
1631121,Guard
1629162,Guard
1629098,Guard-Forward
1629001,Guard
1630241,Guard
203995,Guard
203114,Forward
1641706,Forward
1641801,Forward
1641757,Guard
1631159,Forward
201988,Guard
1629003,Guard
1631303,Forward
1642434,Forward
1631169,Forward
1642274,Center
1642349,Guard
1630558,Guard
1628378,Guard
1630596,Center
1642367,Forward
1628370,Guard
1630541,Guard
1631386,Guard
1631111,Guard
1629630,Guard
202693,Forward
1628420,Guard
1630530,Forward
1627749,Guard
1627750,Guard
1631099,Forward
1631200,Forward
1629004,Guard-Forward
1631250,Forward
1626204,Forward-Center
1629614,Guard-Forward
1630174,Guard-Forward
1641803,Guard
1627777,Forward
1630227,Guard
1630192,Forward-Center
1641936,Forward
1629669,Guard
203994,Center
1626220,Forward
1626143,Center-Forward
1629643,Forward
1629006,Guard
1630168,Forward-Center
1630171,Forward-Guard
1642439,Guard
203482,Forward-Center
1626162,Forward-Guard
101108,Guard
1626166,Guard
203901,Guard
1627780,Guard
1641809,Forward
1641763,Forward
1629618,Guard
1630590,Guard
1631342,Guard-Forward
203486,Forward-Center
1641764,Guard
1627751,Center
1629673,Guard
1641854,Guard
1629645,Guard-Forward
1629008,Forward
1626171,Forward
204001,Forward-Center
1642366,Center
1630695,Center
203939,Forward-Center
1626181,Guard
1627752,Forward
1630202,Guard
1641765,Forward
1642389,Guard
1630243,Guard
1629674,Center
1630193,Guard
1631311,Guard
203944,Forward-Center
1641871,Center
1630559,Guard
1629629,Forward-Guard
1630194,Forward
1642024,Forward-Center
1641810,Guard
1629675,Center-Forward
1631197,Guard
1630208,Center
1626196,Guard
1642258,Forward
1641857,Center
1629130,Forward
1629011,Center-Forward
1631115,Center
1630526,Forward
1631223,Forward
1631157,Guard
1642050,Forward
1626179,Guard
1641712,Guard-Forward
1626156,Guard
1630346,Forward
1627734,Forward-Center
1642275,Forward
1641766,Forward
1630611,Forward
1642259,Center
1631204,Guard
1631248,Guard
203471,Guard
1630578,Center
1641729,Forward
1629012,Guard
1629013,Guard
1630545,Guard-Forward
1630549,Center
1631101,Guard
1642347,Guard
1641767,Guard
1642263,Guard
1627783,Forward
1627732,Guard-Forward
1629014,Guard
1642354,Guard
1630579,Center
203935,Guard
1630696,Guard
1630188,Forward-Center
1642449,Forward
1641890,Forward
1631095,Forward
1641733,Guard
1631110,Forward
1642285,Guard
1630311,Guard
1630531,Guard
1641815,Guard
1630205,Forward
1630191,Forward-Center
1631124,Guard
1629622,Guard-Forward
1630591,Guard
1631306,Forward
1630256,Forward
1628369,Forward-Guard
1630678,Forward
202066,Guard-Forward
1631207,Forward
1628464,Forward-Center
1630560,Guard
1641708,Guard-Forward
1641709,Guard-Forward
1630679,Guard
202691,Guard
202684,Center-Forward
1630550,Forward
1629680,Guard-Forward
1630214,Forward
1631166,Forward
1641772,Forward
1642260,Guard
1631210,Forward
1630167,Forward
1626157,Center-Forward
1642422,Forward
1631247,Forward
1629018,Guard
1631131,Forward-Center
200782,Forward
1626167,Center-Forward
1641816,Forward
1642281,Guard-Forward
1630649,Guard
202685,Center
1627832,Guard
1629020,Forward
1630170,Guard-Forward
1629216,Guard
1641774,Forward
202696,Center
1629731,Forward-Center
1630532,Forward
1629021,Forward-Center
1631133,Forward
1641716,Forward
1629022,Guard-Forward
1641717,Guard
1630811,Guard
1641775,Guard
1642266,Guard
1642276,Center
1629023,Forward
1631102,Guard
1630322,Forward
1630570,Guard-Forward
1641817,Forward
1631212,Guard
1642377,Forward
1641705,Forward-Center
1631104,Guard
201566,Guard
1630762,Forward
1629632,Guard
1628401,Guard
1641727,Guard-Forward
1641715,Forward
1630598,Guard
203952,Forward
1631214,Guard
1630314,Guard
1642262,Forward
1629684,Forward
1631114,Guard-Forward
1631119,Forward
1629026,Guard-Forward
1631109,Center
1631466,Guard
1630172,Forward
1630533,Forward
1629057,Center-Forward
1631246,Guard
1629627,Forward
1630592,Forward
1630164,Center
1631209,Guard
1626153,Guard
1627824,Forward
1642385,Forward
1642443,Guard
1629027,Guard
1627826,Center
1641783,Forward
1628427,Forward
203967,Forward-Center
